percentage of women aged 15-49 years who belong to poorest wealth quintile,    demographic
incidence of cervical cancer,    social
median income,    other
number of people one race: white,    demographic
percent hispanic or latino,    demographic
population with difficulty walking,    social
percent change,    social
average age in,    other
sum of fertility rate,    social
percent under age 18 hispanic or latino origin,    demographic
coronavirus covid-19 cases,    social
males per 100 females,    other
winning margins,    social
rate of unvaccinated population,    demographic
 200,    social
maternal mortality rate,    social
population density,    social
number of people one or more races including native hawaiian and other pacific islander,    demographic
death rate from drug poisoning,    social
population,    social
coronavirus,    social
population estimates,    social
proportion of college graduates,    demographic
difference in proportion of fire area,    physical
work stress,    social
population density,    social
population,    social
planted soybeans,    social
percent of households,    social
number of restaurant,    physical
peace index,    social
india sex ratio,    social
value of land,    social
estimates of completeness of electoral registers,    physical
number of incidents,    physical
poor tb treatment outcome,    social
population density hover,    social
percent under age 18 one race: white not hispanic or latino origin,    social
number of confirmed covid-19 cases,    physical
population,    social
population estimates,    social
average rate per 10000 people,    social
population density,    social
number of people one or more races including american indian and alaska native,    demographic
hispanic population percentage,    demographic
human poverty index,    social
number of people hispanic or latino origin,    demographic
percent of population 2000 one or more races including black or african american,    demographic
mobile cellular telephones,    social
drought severity index,    social
new cases of t. brucel gambiense,    social
minority group with highest percent of state population excludes white nor hispanic,    social
number of inhabitants,    physical
number of people one or more races including white not hispanic or latino origin,    demographic
coronavirus cases,    social
percent of asian population indicating one race,    demographic
percent under age 18,    social
poverty,    social
population estimates,    social
cic returnable loans/borrows,    economic
population estimates,    social
percentage of the people living in poverty areas,    social
regional iq,    social
freshwater availability,    social
adult literacy rates,    social
gdp,    social
population growth,    physical
rice production,    social
eagle nests,    social
birth rate,    social
totol number frauds,    social
pm2.5 levels,    social
percent of american indian and alaska native population indicating one race,    social
average household income as percent of national average household income,    demographic
energy production,    social
change in population density percent ,    demographic
percent of children age 0-5 underweigh,    social
individuals using the internet percent of population,    demographic
religious diversity,    social
percent change one race: white,    demographic
cvl percent ,    social
hazy weather,    physical
population density,    social
crime rates,    social
score,    social
population density,    social
percent change one race,    physical
per capita income,    other
percent under age 18 one or more races including asian,    demographic
hevs,    demographic
population density,    social
confirmed covid-19 cases,    social
median gross rent,    social
population density,    social
population/square mile,    physical
population estimates,    social
precipitation,    physical
preventable death rate,    social
population,    social
percentage of population knowing neither english nor french,    demographic
total reported cases of covid-19,    social
distribution of the spanish populatioi 2005 ,    social
percent under age 18 one or more races including white not hispanic or latino origin,    demographic
rising education levels,    social
population density,    social
population,    social
population,    social
number of people one or more races including black or african american,    demographic
 gnp per capita,    demographic
average temperature,    physical
percent of population one or more races including native hawaiian and other pacific islander,    demographic
percent of population one or more races including white,    demographic
percent of patients testing positive for covid-19,    social
unemployment percent ,    social
life expectancy at birth,    social
reported coronavirus cases,    social
percent population change,    demographic
mexican american population,    social
