label,theme
3,Specific conductance

0,Total capital expenditures of Machinery manufacturing

2,General revenue of governments

2,Property Taxes of governments

2,Current Account

1,Percent of population of widowed

1,Percent change of death among children under 5 due to pediatric cancer

0,Total cost of materials of Bakeries and tortilla manufacturing

2,Estimated annual sales for Other general merch. Stores

0,Average percent of time engaged in by menActivities related to household children health

0,Average percent of time engaged in by menCaring for nonhousehold adults

3,Dissolved oxygen

1,Percent of population of White

0,life expectancy

0,Average percent of time engaged in by menParticipating in performance and cultural

0,Number of employees of Motor vehicle body and trailer manufacturing

1,Population density of Jewish

0,Annual payroll of Ship and boat building

1,difference in number of people of people working more than 49 hours per week

2,Estimated annual sales for Electronics & appliance stores

2,Estimated annual sales for Food & beverage stores

2,Elementary-secondary revenue from compensatory programs

0,Total capital expenditures of Tobacco manufacturing

0,Production workers annual hours of Rubber product manufacturing

0,homicide rate

2,Advance Retail Inventories

0,Average hours per day by women spent on Walking

1,difference in number of people of divorced

2,Elementary-secondary revenue from transportation programs

0,Number of employees of Other electrical equipment and component manufacturing

0,Average hours per day spent on Exterior maintenance, repair, and decoration

2,Estimated annual sales for Home furnishings stores

1,Percent change of People whose native language is Russian

0,Total value of shipments and receipts for services of Fiber, yarn, and thread mills

0,Average hours per day spent on Personal activities

1,Population density of Hispanic or Latino Origin

1,Population density of American Indian and Alaska Native

1,difference in population density of people who are alumni of OSU

1,Percent change of widowed

2,utilities revenue

0,number of Olympic game awards

2,GDP from Transport

0,Average percent of time engaged in Household and personal mail and messages

3,Volatile Organic Compounds (VOCs)

3,area of Mixed Forest (km2)

2,rental and homeowner vacancy rates

2,Consumer Credit

2,Harmonised Consumer Prices

0,Average hours per day by women spent on Talking with and listening to household children

3,Stable Isotope Data from Tundra Swan (Cygnus columbianus) Feathers

2,Interest on debt of governments

0,Average percent of time engaged in Caring for and helping household children

2,Total Taxes of governments

0,Total value of shipments and receipts for services of Electrical equipment, appliance, and component manufacturing

0,Total cost of materials of Food manufacturing

2,international trade deficit

1,number of people of males 15 years and over

0,Annual payroll of Other transportation equipment manufacturing,Furniture and related product manufacturing

3,Bromus tectorum

0,Production workers annual wages of Machinery manufacturing

2,GDP Advance Estimate

0,Average hours per day spent on Financial management

0,Average hours per day spent on Socializing and communicating

1,Percent change of people who are alumni of OSU

0,Average hours per day by women spent on Helping nonhousehold adults

1,difference in population density of People whose native language is Russian

2,Exports

3,Universal Waste

1,difference in population density of dentist

1,difference in number of people of people living in slums

0,CO2 emission (per capita)

0,Average percent of time engaged in by womenCaring for household adults

2,Government Spending to GDP

0,Average hours per day by women spent on Attending religious services

1,difference in population density of people enrolled in College or graduate school

0,Total capital expenditures of Aerospace product and parts manufacturing

0,License plate vanitization rate

0,Average percent of time engaged in by menEducational activities

0,Total capital expenditures of Dairy product manufacturing

2,Gross Domestic Product (Third Estimate)

0,Average percent of time engaged in by menSocializing, relaxing, and leisure

0,Average percent of time engaged in by womenGrocery shopping

2,Consumer Confidence

0,Average percent of time engaged in by menInterior maintenance, repair, and decoration

1,Population density of Native Hawaiian and Other Pacific Islander

1,Population density of people who changed the job in the past one year

0,number of cell phones per 100 person

2,Estimated annual sales for Shoe stores

3,Sulfur Dioxide (SO2)

3,annual average temperature

2,health care and social assistance revenue

0,Annual payroll of Fruit and vegetable preserving and specialty food manufacturing

2,Estimated annual sales for Motor vehicle & parts Dealers

3,radiocarbon dating of deep-sea (500 m to 700 m) black corals

0,Average percent of time engaged in by womenHousehold services

0,Production workers annual hours of Communications equipment manufacturing

0,Number of employees of Textile and fabric finishing and fabric coating mills

1,difference in population density of per Walmart store

1,difference in number of people of frauds

0,Average percent of time engaged in by menAttending religious services

2,Total expenditure of governments

2,Insurance trust expenditure of governments

2,Cash and security holdings of governments

1,Percent change of people with a bachelor's degree or higher

0,Average percent of time engaged in Working

2,federal government expenditure (per capita)

0,Annual payroll of Computer and electronic product manufacturing

0,Average percent of time engaged in by menCivic obligations and participation

0,Production workers annual wages of Grain and oilseed milling

0,Total capital expenditures of Other transportation equipment manufacturing,Furniture and related product manufacturing

3,area of Deciduous Forest (km2)

1,Population density of People who is infected by HIV

0,burglary per 1000 household

0,Average percent of time engaged in Reading for personal interest

0,Production workers annual wages of Manufacturing

0,Average hours per day by men spent on Eating and drinking

2,Estimated annual sales for Elect. shopping & m/o houses

2,GDP Annual Growth Rate

0,Average percent of time engaged in by womenHome maintenance, repair, decoration, and construction (not done by self)

0,Average percent of time engaged in Health-related self care

1,difference in number of people of people enrolled in High school (grades 9-12)

0,gun violence rate

2,percent of houses with annual income of $50,000 and less

0,Annual payroll of Leather and hide tanning and finishing

2,Import Prices

0,Average percent of time engaged in by menHousehold services

0,Race diversity index

3,Landfills

0,Production workers annual hours of Dairy product manufacturing

3,Green Chemistry

0,Average hours per day spent on Attending meetings, conferences, and training

0,Annual payroll of Other miscellaneous manufacturing

1,Population density of people enrolled in Kindergarten

2,Housing Vacancies and Homeownership

1,Population density of  never married

1,difference in number of people of black or African American

3,area of Unconsolidated Shore (km2)

1,difference in population density of Catholic

1,number of people of Jewish

3,area of Developed, Open Space (km2)

1,difference in number of people of above age 65

0,average age

2,Annual Business Applications

0,Production workers average for year of Fiber, yarn, and thread mills

0,infant mortality rate

2,Terrorism Index

1,Population density of People whose native language is Russian

2,Corporate Tax Rate

1,Population density of Muslim

0,Annual payroll of Navigational, measuring, electromedical, and control instruments manufacturing

1,Percent of population of people enrolled in College or graduate school

0,Number of employees of Wood product manufacturing

3,area of Estuarine Aquatic Bed (km2)

3,Carbon Monoxide (CO)

0,Production workers annual wages of Rubber product manufacturing

1,Percent change of women that were screened for breast and cervical cancer by jurisdiction

2,GDP from Services

0,Average hours per day spent on Vehicle maintenance and repair services

0,Average hours per day spent on Medical and care services

2,Inflation Rate Mom

1,number of people of frauds

0,Number of employees of Foundries

2,Liquor stores expenditure of governments

0,Total value of shipments and receipts for services of Electrical equipment manufacturing

2,transportation and warehousing revenue

2,Foreign Direct Investment

0,Average percent of time engaged in by menWatching TV

0,Average percent of time engaged in Government services

1,number of people of Christian

2,Foreign Trade

3,area of Developed, Medium Intensity (km2)

0,Annual payroll of Leather and allied product manufacturing

2,Personal Spending

0,Average percent of time engaged in by menTalking with and listening to household children

0,Average hours per day spent on Travel related to household activities

2,Elementary-secondary expenditure

1,difference in number of people of Christian

2,Government Spending

2,Imports

3,area of Perennial Ice/Snow (km2)

0,Average percent of time engaged in by menFinancial management

1,Percent change of Native Hawaiian and Other Pacific Islander

3,Mold Effects

2, information sector revenue

2,international advance trade in goods deficit

0,Average percent of time engaged in by menFood and drink preparation

2,Estimated annual sales for Auto parts

1,Population density of Under age 18

3,Dioxin Effects

1,Percent of population of Catholic

1,number of people of black or African American

2,GDP (nominal or ppp) per capita

2,GDP from Construction

1,difference in number of people of  never married

2,gross domestic income (nominal or ppp) per capita

2,Gross National Product

2,gross domestic income (nominal or ppp)

0,Average hours per day by women spent on Relaxing and thinking

2,New Residential Sales

2,Selective sales of governments

0,Total value of shipments and receipts for services of Apparel accessories and other apparel manufacturing

1,Percent change of Muslim

0,Average percent of time engaged in Activities related to household children education

2,GDP (nominal or ppp)

2,Personal Income Tax Rate

0,Average hours per day by men spent on Taking class for degree, certificate, or licensure

0,Production workers average for year of Railroad rolling stock manufacturing

0,Annual payroll of Medical equipment and supplies manufacturing

2,Estimated annual sales for Sporting goods hobby, musical instrument, & book stores

2,Lending Rate

2,producer prices change

2,Exports By Metropolitan Area

0,Annual payroll of Grain and oilseed milling

2,professional, scientific, and technical services revenue

0,Number of employees of Dairy product manufacturing

0,Production workers average for year of Architectural and structural metals manufacturing

1,Population density of who believe climate change

0,Annual payroll of Textile product mills

0,Average percent of time engaged in Kitchen and food cleanup

1,difference in number of people of separated

0,Average percent of time engaged in Indoor and outdoor maintenance, building, and cleanup activities

1,Percent of population of Under age 18

1,Percent of population of divorced

0,Average percent of time engaged in Job search and interviewing

2,Income Taxes of governments

1,Percent change of people enrolled in Nursery school, people enrolled in preschool

2,Government Budget Value

0,Total value of shipments and receipts for services of Fabricated metal product manufacturing

3,area of Barren Land (km2)

3,area of Cultivated Crops (km2)

2,Crude Oil Production

2,poverty rate

3,Lead

2,gross domestic income

0,Total capital expenditures of Converted paper product manufacturing

0,Total capital expenditures of Fabric mills

0,Average hours per day by women spent on Administrative and support activities

1,difference in number of people of people enrolled in Elementary school (grades 1-8)

0,Total capital expenditures of Textile and fabric finishing and fabric coating mills

0,Average hours per day by women spent on Volunteer activities

2,External Debt

0,Average percent of time engaged in Lawn and garden care

0,Average hours per day by men spent on Household services

2,Liquor stores revenue of governments

1,Population density of people enrolled in High school (grades 9-12)

2,median and average prices

0,Production workers annual hours of Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing

0,Average hours per day spent on Purchasing goods and services

0,Annual payroll of Electrical equipment, appliance, and component manufacturing

1,Percent of population of women that were screened for breast and cervical cancer by jurisdiction

0,Average percent of time engaged in by womenCaring for and helping nonhousehold members

1,number of people of people living in slums

1,difference in population density of death among children under 5 due to pediatric cancer

0,Production workers annual wages of Industrial machinery manufacturing

2,Personal Savings

2,Deposit Interest Rate

0,Average hours per day by women spent on Activities related to household children health

1,difference in population density of people working more than 49 hours per week

2,New Home Sales

0,Average percent of time engaged in Work-related activities

3,area of Grassland/Herbaceous (km2)

1,number of people of widowed

0,Average hours per day by men spent on Indoor and outdoor maintenance, building, and cleanup activities

3,wildfire and beetle-caused canopy mortality

0,Average hours per day by men spent on Purchasing goods and services

0,Average percent of time engaged in by menHelping nonhousehold adults

2,Utility expenditure of governments

1,Percent of population of people with a bachelor's degree or higher

0,Average hours per day spent on Storing interior household items, including food

0,Average hours per day by men spent on Organizational, civic, and religious activities

3,Herbicide use

1,number of people of dentist

2,real estate and rental and leasing revenue

0,Average hours per day by men spent on Volunteer activities

0,Average percent of time engaged in by menCaring for and helping nonhousehold adults

0,Production workers annual hours of Food manufacturing

2,Insurance benefits and repayments of governments

2,Rental Vacancy Rate

1,Population density of Asian

2,Employed Persons

2,Export Prices

2,Social Security Rate

1,Percent of population of now married, except separated

2,Part Time Employment

0,Total value of shipments and receipts for services of Motor vehicle manufacturing

0,Average hours per day by men spent on Participating in religious practices

0,Total capital expenditures of Hardware manufacturing,Spring and wire product manufacturing

0,Average percent of time engaged in by womenReading to and with household children

1,Population density of now married, except separated

1,number of people of people below poverty level

0,Total cost of materials of Leather and allied product manufacturing

2,Core Consumer Prices

0,Annual payroll of Other leather and allied product manufacturing

0,Total value of shipments and receipts for services of Cement and concrete product manufacturing

0,Average hours per day by men spent on Working

1,Percent change of Asian

2,Capital Flows

0,Average hours per day by women spent on Caring for and helping household adults

2,Current charge of governments

2,Bank Lending Rate

0,Total capital expenditures of Pesticide, fertilizer, and other agricultural chemical manufacturing

1,Population density of males 15 years and over

0,Production workers annual wages of Other miscellaneous manufacturing

2,Unemployed Persons

1,Population density of Christian

0,Production workers annual hours of Textile mills

1,difference in population density of people below poverty level

0,Total cost of materials of Textile mills

0,Production workers annual hours of Manufacturing and reproducing magnetic and optical media

0,Number of employees of Industrial machinery manufacturing

1,number of people of above age 65

0,Annual payroll of Chemical manufacturing

1,Population density of White

0,Average percent of time engaged in by womenAttending class

3,area of Estuarine Scrub/Shrub (km2)

0,Total cost of materials of Manufacturing

0,Average percent of time engaged in Attending or hosting social events

0,Average percent of time engaged in by menCaring for and helping household adults

1,Percent of population of Asian

0,Average hours per day by men spent on Government services

0,Average hours per day spent on Travel related to caring for and helping nonhousehold membership

0,Number of employees of Plastics product manufacturing

0,Total cost of materials of Wood product manufacturing

1,Population density of women that were screened for breast and cervical cancer by jurisdiction

0,Average percent of time engaged in by menGovernment services

1,number of people of per Walmart store

0,Average hours per day by women spent on Playing games

0,Average percent of time engaged in by womenWalking, exercising, and playing with animals

2,Advance Wholesale Inventories

0,Total value of shipments and receipts for services of Electric lighting equipment manufacturing

0,Production workers average for year of Pesticide, fertilizer, and other agricultural chemical manufacturing

0,Production workers annual hours of Printing and related support activities

0,Average hours per day by men spent on Caring for and helping nonhousehold adults

0,Average hours per day by men spent on Attending sporting or recreational events

3,area of Woody Wetlands (km2)

1,number of people of White

2,Miscellaneous general revenue of governments

1,Percent change of people enrolled in Kindergarten

0,Average percent of time engaged in by womenPurchasing goods and services

0,Average percent of time engaged in by womenInterior cleaning

1,Percent change of dentist

0,Annual payroll of Petroleum and coal products manufacturing

0,Average percent of time engaged in Social service and care activities 

0,Production workers annual wages of Semiconductor and other electronic component manufacturing

1,Percent change of People who is infected by HIV

0,Production workers annual hours of Metalworking machinery manufacturing

1,number of people of separated

2,Wholesale inventories

1,number of people of Hispanic or Latino Origin

1,difference in population density of people with a bachelor's degree or higher

0,freedom index

3,area of Lichens (km2)

0,Average percent of time engaged in by womenSleeping

1,difference in number of people of people enrolled in Nursery school, people enrolled in preschool

0,Annual payroll of Machine shops; turned product; and screw, nut, and bolt manscrewufacturing

1,Percent change of per Walmart store

0,Average percent of time engaged in by menAdministrative and support activities

0,Average percent of time engaged in by womenCaring for and helping nonhousehold children

2,GDP by Industry

1,Percent of population of American Indian and Alaska Native

1,Population density of dentist

3,pH

0,Total value of shipments and receipts for services of Other chemical product and preparation manufacturing

2,ADVANCE MONTHLY SALES FOR RETAIL AND FOOD SERVICES

1,Population density of people enrolled in College or graduate school

0,Average percent of time engaged in by menFinancial services and banking

1,Percent change of Jewish

1,difference in population density of people who changed the job in the past one year

1,Percent of population of people working more than 49 hours per week

1,Percent change of now married, except separated

1,Percent of population of black or African American

0,Average percent of time engaged in Socializing and communicating

0,Average percent of time engaged in Attending meetings, conferences, and training

0,Total capital expenditures of Plastics and rubber products manufacturing

0,Total cost of materials of Communications equipment manufacturing

1,Percent change of American Indian and Alaska Native

1,difference in population density of White

2,Homeownership rates

0,Number of employees of Transportation equipment manufacturing

0,Average percent of time engaged in by menCaring for and helping nonhousehold members

0,Number of employees of Other transportation equipment manufacturing,Furniture and related product manufacturing

1,difference in population density of People who is infected by HIV

1,difference in number of people of White

